Afghanistan,L,East Timor,I,Lesotho,M,San Marino,C
Albania,E,Ecuador,K,Liberia,M,Sao Tome & Principe,M
Algeria,M,Egypt,L,Libya,M,Saudi Arabia,L
American Samoa,I,El Salvador,K,Liechtenstein,D,Senegal,M
Andorra,D,Equatorial Guinea,M,Lithuania,D,"Serbia, Republic of",E
Angola,M,Eritrea,M,Luxembourg,C,Seychelles,M
Anguilla,J,Estonia,D,Macau,H2,Sierra Leone,M
Antigua,J,Ethiopia,M,Macedonia,E,Singapore,H2
Argentina,K,Falkland Islands,K,Madagascar,M,Slovakia,D
Armenia,L,Faroe Islands,D,Malawi,M,Slovenia,D
Aruba,J,Fiji,I,Malaysia,H2,Solomon Islands,I
Australia,H2,Finland,D,Maldives,I,Somalia,M
Austria,D,France,C,Mali,M,Somaliland,M
Azerbaijan,E,French Guiana,K,Malta,D,South Africa,M
Bahamas,J,Gabon,M,Marshall Islands,I,South Sudan,M
Bahrain,L,Gambia,M,Martinique,J,Spain,C
Bangladesh,H2,Georgia,E,Mauritania,M,Sri Lanka,H2
Barbados,J,Germany,C,Mauritius,M,St. Barthelemy,J
Belarus,E,Ghana,M,Mayotte,M,St. Eustatius,J
Belgium,C,Gibraltar,D,Mexico,B,St. Kitts,J
Belize,K,Greece,D,Micronesia,H2,St. Lucia,J
Benin,M,Greenland,D,Moldova,E,St. Maarten,J
Bermuda,J,Grenada,J,Monaco,C,St. Vincent,J
Bhutan,I,Guadeloupe,J,Mongolia,I,Sudan,M
Bolivia,K,Guam,H2,"Montenegro, Republic of",E,Suriname,K
Bonaire,J,Guatemala,K,Montserrat,J,Swaziland,M
Bosnia & Herzegovina,E,Guernsey,D,Morocco,M,Sweden,D
Botswana,M,Guinea,M,Mozambique,M,Switzerland,D
Brazil,K,Guinea-Bissau,M,Myanmar (Burma),I,Syria,L
Brunei,I,Guyana,K,Namibia,M,Tahiti,I
Bulgaria,D,Haiti,J,"Nauru, Republic of",I,Taiwan,H1
Burkina Faso,M,Honduras,K,Nepal,I,Tajikistan,E
Burundi,M,Hong Kong,H1,"Netherlands, The",C,Tanzania,M
Cambodia,I,Hungary,D,Nevis,J,Thailand,H2
Cameroon,M,Iceland,D,New Caledonia,I,Togo,M
Canada,A,India,H2,New Zealand,H2,Tonga,I
Canary Islands,D,Indonesia,H2,Nicaragua,K,Trinidad & Tobago,J
Cape Verde,M,Iran,L,Niger,M,Tunisia,M
Cayman Islands,J,Iraq,L,Nigeria,M,Turkey,L
Central African Republic,M,Ireland,C,Niue,I,Turkmenistan,E
Chad,M,Israel,L,Norway,D,Turks & Caicos Islands,J
Chile,K,Italy,C,Oman,L,Tuvalu,I
China,G,Ivory Coast,M,Pakistan,L,Uganda,M
Colombia,K,Jamaica,J,Palau,H2,Ukraine,E
Comoros Islands,M,Japan,F,Panama,K,United Arab Emirates,L
Congo,M,Jersey,D,Papua New Guinea,I,United Kingdom,C
"Congo, Democratic Republic",M,Jordan,L,Paraguay,K,Uruguay,K
Cook Islands,I,Kazakhstan,E,Peru,K,Uzbekistan,E
Costa Rica,K,Kenya,M,Philippines,H2,Vanuatu,I
Croatia,E,Kiribati,I,Poland,D,Venezuela,K
Cuba,J,"Korea, North (DPR)",I,Portugal,C,Vietnam,H2
Curacao,J,"Korea, South",F,Puerto Rico,N,Virgin Islands (British),J
Cyprus,D,Kosovo,E,Qatar,L,Virgin Islands (US),J
Czech Republic,D,Kuwait,L,Reunion Island,M,Western Samoa,I
Denmark,D,Kyrgyzstan,E,Romania,D,"Yemen, Republic of",L
Djibouti,M,Laos/Lao,I,Russia,E,Zambia,M
Dominica,J,Latvia,D,Rwanda,M,Zimbabwe,M
Dominican Republic,J,Lebanon,L,Saipan,H2,,
